,arr_time,exit_time,origin,total,exit_time_binned,destination
222,490,531,Colliers Wood,1,15,513
223,494,534,Colliers Wood,1,15,644
224,522,559,Colliers Wood,1,17,513
225,522,560,Colliers Wood,1,17,513
226,433,468,Colliers Wood,1,11,513
227,452,489,Colliers Wood,1,12,644
228,471,508,Colliers Wood,1,13,644
229,559,592,Colliers Wood,1,19,513
230,461,493,Colliers Wood,1,12,513
231,485,525,Colliers Wood,1,14,513
232,447,483,Colliers Wood,1,12,644
233,472,508,Colliers Wood,1,13,644
234,509,549,Colliers Wood,1,16,513
235,525,562,Colliers Wood,1,17,644
236,531,565,Colliers Wood,1,17,513
237,491,531,Colliers Wood,1,15,513
238,378,409,Colliers Wood,1,7,513
239,490,541,Colliers Wood,1,16,644
240,406,437,Colliers Wood,1,9,513
241,443,474,Colliers Wood,1,11,513
242,493,532,Colliers Wood,1,15,513
243,412,443,Colliers Wood,1,9,513
244,471,509,Colliers Wood,1,13,513
245,401,436,Colliers Wood,1,9,513
246,481,521,Colliers Wood,1,14,513
247,441,474,Colliers Wood,1,11,513
248,447,480,Colliers Wood,1,11,513
249,489,527,Colliers Wood,1,15,513
250,479,517,Colliers Wood,1,14,513
251,437,470,Colliers Wood,1,11,644
252,444,474,Colliers Wood,1,11,513
253,477,513,Colliers Wood,1,14,513
254,610,643,Colliers Wood,1,22,513
255,498,540,Colliers Wood,1,15,513
256,509,551,Colliers Wood,1,16,513
257,346,377,Colliers Wood,1,5,513
258,464,503,Colliers Wood,1,13,513
259,463,504,Colliers Wood,1,13,513
260,472,509,Colliers Wood,1,13,513
261,549,582,Colliers Wood,1,18,513
262,586,617,Colliers Wood,1,21,513
263,509,549,Colliers Wood,1,16,513
264,598,629,Colliers Wood,1,21,644
265,554,588,Colliers Wood,1,19,513
266,425,457,Colliers Wood,1,10,513
267,500,546,Colliers Wood,1,16,644
268,451,486,Colliers Wood,1,12,513
269,424,456,Colliers Wood,1,10,513
270,458,493,Colliers Wood,1,12,644
271,436,469,Colliers Wood,1,11,644
272,448,483,Colliers Wood,1,12,513
273,463,497,Colliers Wood,1,13,513
274,511,551,Colliers Wood,1,16,513
275,544,581,Colliers Wood,1,18,513
276,595,628,Colliers Wood,1,21,644
277,601,637,Colliers Wood,1,22,513
278,482,518,Colliers Wood,1,14,644
279,482,520,Colliers Wood,1,14,513
280,656,688,Colliers Wood,1,25,513
281,417,449,Colliers Wood,1,9,513
282,493,532,Colliers Wood,1,15,513
283,544,580,Colliers Wood,1,18,513
284,459,494,Colliers Wood,1,12,644
285,520,558,Colliers Wood,1,17,513
286,524,560,Colliers Wood,1,17,644
287,527,566,Colliers Wood,1,17,644
288,503,547,Colliers Wood,1,16,513
289,504,547,Colliers Wood,1,16,513
290,522,557,Colliers Wood,1,17,513
291,494,534,Colliers Wood,1,15,513
292,498,547,Colliers Wood,1,16,644
293,522,560,Colliers Wood,1,17,513
294,541,581,Colliers Wood,1,18,644
295,461,493,Colliers Wood,1,12,513
296,498,540,Colliers Wood,1,15,644
297,452,485,Colliers Wood,1,12,513
298,487,527,Colliers Wood,1,15,513
299,521,558,Colliers Wood,1,17,644
300,441,473,Colliers Wood,1,11,644
301,457,493,Colliers Wood,1,12,644
302,478,516,Colliers Wood,1,14,513
303,497,540,Colliers Wood,1,15,513
304,499,543,Colliers Wood,1,16,513
305,533,567,Colliers Wood,1,17,644
306,451,485,Colliers Wood,1,12,644
307,468,506,Colliers Wood,1,13,513
308,385,419,Colliers Wood,1,7,513
309,468,505,Colliers Wood,1,13,644
310,419,452,Colliers Wood,1,10,513
311,452,484,Colliers Wood,1,12,513
312,459,493,Colliers Wood,1,12,513
313,510,550,Colliers Wood,1,16,513
314,458,490,Colliers Wood,1,12,513
315,450,484,Colliers Wood,1,12,513
316,482,524,Colliers Wood,1,14,644
317,448,483,Colliers Wood,1,12,644
318,494,534,Colliers Wood,1,15,644
319,566,599,Colliers Wood,1,19,513
320,391,425,Colliers Wood,1,8,513
321,481,519,Colliers Wood,1,14,513
322,501,545,Colliers Wood,1,16,513
323,512,553,Colliers Wood,1,16,644
324,594,627,Colliers Wood,1,21,513
325,484,524,Colliers Wood,1,14,513
326,519,558,Colliers Wood,1,17,513
327,457,492,Colliers Wood,1,12,644
328,470,507,Colliers Wood,1,13,644
329,473,511,Colliers Wood,1,14,513
330,507,548,Colliers Wood,1,16,513
331,562,594,Colliers Wood,1,19,513
332,443,474,Colliers Wood,1,11,513
333,457,491,Colliers Wood,1,12,644
334,461,493,Colliers Wood,1,12,513
335,508,549,Colliers Wood,1,16,513
336,540,574,Colliers Wood,1,18,644
337,422,452,Colliers Wood,1,10,513
338,310,349,Colliers Wood,1,3,513
339,482,518,Colliers Wood,1,14,644
340,491,531,Colliers Wood,1,15,513
341,531,564,Colliers Wood,1,17,644
342,456,491,Colliers Wood,1,12,513
343,458,491,Colliers Wood,1,12,644
344,467,506,Colliers Wood,1,13,513
345,489,527,Colliers Wood,1,15,513
346,459,494,Colliers Wood,1,12,513
347,516,556,Colliers Wood,1,17,644
348,460,492,Colliers Wood,1,12,513
349,483,523,Colliers Wood,1,14,513
350,497,537,Colliers Wood,1,15,513
351,512,551,Colliers Wood,1,16,513
352,383,414,Colliers Wood,1,7,513
353,541,580,Colliers Wood,1,18,644
354,488,531,Colliers Wood,1,15,644
355,511,551,Colliers Wood,1,16,513
356,520,558,Colliers Wood,1,17,513
357,547,580,Colliers Wood,1,18,513
358,569,603,Colliers Wood,1,20,513
359,645,679,Colliers Wood,1,25,513
360,445,479,Colliers Wood,1,11,513
361,460,493,Colliers Wood,1,12,644
362,468,507,Colliers Wood,1,13,513
363,482,519,Colliers Wood,1,14,513
364,556,589,Colliers Wood,1,19,513
365,422,452,Colliers Wood,1,10,513
366,479,517,Colliers Wood,1,14,513
367,544,580,Colliers Wood,1,18,513
368,546,580,Colliers Wood,1,18,644
369,540,575,Colliers Wood,1,18,513
370,480,519,Colliers Wood,1,14,513
371,493,534,Colliers Wood,1,15,513
372,505,547,Colliers Wood,1,16,513
373,512,551,Colliers Wood,1,16,644
374,557,589,Colliers Wood,1,19,644
375,371,402,Colliers Wood,1,6,513
376,509,549,Colliers Wood,1,16,513
377,571,605,Colliers Wood,1,20,644
378,502,545,Colliers Wood,1,16,513
379,546,581,Colliers Wood,1,18,644
380,521,558,Colliers Wood,1,17,513
381,678,711,Colliers Wood,1,27,513
382,455,488,Colliers Wood,1,12,513
383,364,398,Colliers Wood,1,6,513
384,463,495,Colliers Wood,1,12,513
385,508,549,Colliers Wood,1,16,644
386,531,565,Colliers Wood,1,17,513
387,383,413,Colliers Wood,1,7,513
