exit_time_binned,origin,total
2,Turnham Green,0.578947368421
2,Turnpike Lane,0.5
2,Twickenham,0.526315789474
2,Upminster,0.0526315789474
2,Upminster Bridge,0.0263157894737
2,Upney,0.394736842105
2,Upton Park,1.86842105263
2,Vauxhall,0.0526315789474
2,Victoria,0.5
2,Walthamstow Central,1.07894736842
2,Wanstead,0.789473684211
2,Warren Street,0.0263157894737
2,Warwick Avenue,0.0263157894737
2,Waterloo JLE,0.263157894737
2,Watford Junction,0.105263157895
2,Wembley Central,0.0263157894737
2,West Acton,0.0263157894737
2,West Drayton,0.0263157894737
2,West Ealing,0.105263157895
2,West Finchley,0.210526315789
2,West Ham,0.342105263158
2,West Hampstead,0.0526315789474
2,West Harrow,0.0263157894737
2,West India Quay,0.0526315789474
2,West Kensington,0.184210526316
2,West Norwood,0.0789473684211
2,West Ruislip,0.789473684211
2,Westbourne Park,0.0263157894737
2,Westferry,1.13157894737
2,Westminster,0.0263157894737
2,White City,0.421052631579
2,Whitechapel,0.0263157894737
2,Whitton,0.368421052632
2,Willesden Green,0.526315789474
2,Wimbledon,0.342105263158
2,Wimbledon Park,0.315789473684
2,Wood Green,0.236842105263
2,Woodford,1.13157894737
2,Woodside Park,0.368421052632
2,Woolwich Arsenal NR,0.0526315789474
2,Worcester Park,0.131578947368
3,Abbey Road,0.131578947368
3,Abbey Wood,0.0526315789474
3,Acton Town,0.973684210526
3,Aldgate East,0.0263157894737
3,All Saints,0.184210526316
3,Alperton,0.0789473684211
3,Amersham,0.473684210526
3,Angel,0.131578947368
3,Archway,1.05263157895
3,Arnos Grove,0.157894736842
3,Arsenal,0.0263157894737
3,Ashfield House B,0.394736842105
3,Ashfield House C,0.605263157895
3,Baker Street,0.236842105263
3,Balham,3.10526315789
3,Bank,0.0263157894737
3,Barking,1.10526315789
3,Barkingside,0.263157894737
3,Barnes,0.342105263158
3,Barnes Bridge,0.0789473684211
3,Barons Court,0.210526315789
3,Bayswater,0.0263157894737
3,Beckenham Junction,0.0789473684211
3,Beckton,0.868421052632
3,Beckton Park,0.0526315789474
3,Becontree,0.447368421053
3,Belsize Park,0.815789473684
3,Belvedere,0.0263157894737
3,Bermondsey,0.105263157895
3,Berrylands,0.315789473684
3,Bethnal Green,0.894736842105
3,Blackhorse Road,0.263157894737
3,Blackwall,0.210526315789
3,Bond Street,0.210526315789
3,Borough,0.0789473684211
3,Boston Manor,0.0789473684211
3,Bounds Green,0.842105263158
3,Bow Road,1.0
3,Brent Cross,0.421052631579
3,Brentford,0.0789473684211
3,Brixton,0.736842105263
3,Bromley By Bow,0.210526315789
3,Bromley South,0.0526315789474
3,Bruce Grove,0.0263157894737
3,Buckhurst Hill,1.47368421053
3,Burnt Oak,3.57894736842
3,Camden Town,0.894736842105
3,Canada Water,0.526315789474
3,Canary Wharf DLR,0.105263157895
3,Canary Wharf LU (E1),0.0263157894737
3,Canning Town,1.28947368421
3,Canons Park,0.0526315789474
3,Carpenders Park,0.368421052632
3,Caterham,0.0263157894737
3,Catford Bridge,0.0789473684211
3,Chadwell Heath,0.0526315789474
3,Chafford Hundred,0.0263157894737
3,Chalfont & Latimer,0.0789473684211
3,Chalk Farm,1.60526315789
3,Chancery Lane,0.0789473684211
3,Charing Cross,0.0263157894737
3,Chesham,0.0263157894737
3,Cheshunt,0.0789473684211
3,Chigwell,0.0263157894737
3,Chiswick Park,0.131578947368
3,Clapham Common,2.26315789474
3,Clapham Junction,0.526315789474
3,Clapham North,1.28947368421
3,Clapham South,1.68421052632
3,Cockfosters,0.105263157895
3,Colindale,0.631578947368
3,Colliers Wood,1.55263157895
3,Crosshbr Ldn Arena,0.710526315789
3,Croydon Stations,0.131578947368
3,Custom House DLR,0.131578947368
3,Cutty Sark,0.263157894737
3,Cyprus,0.0263157894737
3,Dagenham East,0.368421052632
3,Dagenham Heathway,0.947368421053
3,Debden,0.526315789474
3,Devons Road,0.184210526316
3,Dollis Hill,0.0789473684211
3,Ealing Broadway,2.89473684211
3,Ealing Common,0.0526315789474
3,Earls Court,1.31578947368
3,Earlsfield,0.236842105263
3,East Acton,0.921052631579
3,East Dulwich,0.0263157894737
3,East Finchley,1.89473684211
3,East Ham,2.13157894737
3,East India,0.526315789474
3,East Putney,0.131578947368
3,Eastcote,0.315789473684
3,Edgware,1.02631578947
3,Edgware Road,0.0263157894737
3,Edmonton Green,0.105263157895
3,Elephant & Castle,0.289473684211
3,Elm Park,0.710526315789
3,Eltham,0.0263157894737
3,Enfield Chase,0.105263157895
3,Epping,3.78947368421
3,Essex Road,3.94736842105
3,Euston,0.315789473684
3,Euston Square,0.0263157894737
3,Ewell East,0.0263157894737
3,Ewell West,0.157894736842
3,Fairlop,0.421052631579
3,Farringdon,0.0526315789474
3,Finchley Central,0.394736842105
3,Finchley Road,0.0526315789474
3,Finsbury Park LU,0.605263157895
3,Forest Gate,0.0526315789474
3,Fulham Broadway,0.184210526316
3,Gants Hill,3.02631578947
3,Gidea Park,0.157894736842
3,Gipsy Hill,0.315789473684
3,Gloucester Road,0.868421052632
3,Golders Green,1.5
3,Goodge Street,0.447368421053
3,Goodmayes,0.105263157895
3,Gordon Hill,0.0263157894737
3,Grange Hill,0.0789473684211
3,Grange Park,0.0789473684211
3,Grays,0.263157894737
3,Green Park,0.157894736842
3,Greenford,2.05263157895
3,Greenwich DLR,0.236842105263
3,Gunnersbury,0.0263157894737
3,Hackney Wick,0.0263157894737
3,Haggerston,0.0263157894737
3,Hainault,2.15789473684
3,Hammersmith D,1.57894736842
3,Hampstead,0.684210526316
3,Hampton Court,0.447368421053
3,Hanger Lane,1.05263157895
3,Hanwell,0.0263157894737
3,Harlesden,1.13157894737
3,Harold Wood,0.0526315789474
3,Harrow On The Hill,0.0526315789474
3,Harrow Wealdstone,0.473684210526
3,Hatton Cross,0.105263157895
3,Hayes & Harlington,0.763157894737
3,Headstone Lane,0.210526315789
3,Heathrow Term 5,0.210526315789
3,Heathrow Terminal 4 LU,0.0263157894737
3,Heathrow Terminals 123 LU,0.210526315789
3,Hendon Central,0.342105263158
3,Herne Hill,0.0263157894737
3,Heron Quays,0.315789473684
3,High Barnet,0.605263157895
3,High Street Kensington,0.236842105263
3,Highams Park,0.131578947368
3,Highbury & Islington,0.0263157894737
3,Highgate,0.473684210526
3,Holborn,0.0526315789474
3,Holland Park,0.842105263158
3,Holloway Road,0.105263157895
3,Honor Oak Park,0.0263157894737
3,Hornchurch,1.23684210526
3,Hornsey,0.0263157894737
3,Hounslow,0.0526315789474
3,Hounslow Central,0.394736842105
3,Hounslow East,0.631578947368
3,Hounslow West,0.578947368421
3,Hyde Park Corner,0.0263157894737
3,Ickenham,0.0263157894737
3,Ilford,0.157894736842
3,Imperial Wharf,0.526315789474
3,Island Gardens,0.526315789474
3,Isleworth,0.236842105263
3,Kennington,0.236842105263
3,Kensal Green,0.184210526316
3,Kentish Town,0.157894736842
3,Kew Gardens,0.0526315789474
3,Kilburn,0.921052631579
